"Place ID","Title","Latitude","Longitude"
"2760","Public Safety Building ","40.113044","-88.223476"
"2761","Water Survey building ","40.085568","-88.241501"
"2845","South Arboretum Woods","40.084439","-88.216215"
"2849","Building Research Laboratory (BRL)","40.093535","-88.242273"
"2850","Z Building","40.092333","-88.238842"
"2896","Wassaja Hall","40.103730","-88.238200"
"2905","City of Urbana Building","40.109994","-88.204546"
"2973","Wind Turbine Proposed Location","40.056234","-88.193908"
"3216","Rehabilitation Education Center","40.103229","-88.242025"
"3246","Rail Splitter Wind Farm","40.298654","-89.485101"
"3310","Library and Information Science Building","40.107780","-88.231621"
"3453","Chemistry Annex","40.108176","-88.225539"
"3517","Boneyard Creek Streamflow-Gaging Station","40.111305","-88.226520"
"3652","Irwin Indoor Football Practice Facility","40.101461","-88.233563"
"3653","Ubben Basketball Facility","40.095578","-88.231385"
"3654","Illinois Field","40.096445","-88.230313"
"3655","Demirjian Golf Practice Facility","40.094127","-88.228021"
"3656","Kenney Gym","40.113049","-88.228361"
"3724","Illini Gadget Garage","40.092455","-88.241511"
"3864","Brownfield Woods","40.145060","-88.165197"
"3892","Parking Lot F-4","40.102028","-88.226885"
"4000","Art Annex #2","40.102023","-88.224696"
"4056","Idea Garden","40.096376","-88.218189"
"4220","Department of Latino Studies","40.106669","-88.224830"
"4221","Early Child Development Laboratory","40.105500","-88.220985"
"4222","Astronomy Building","40.110937","-88.220887"
"4223","School of Labor and Employment Relations","40.105646","-88.231573"
"4245","Fruit Farm Administration Building","40.081869","-88.211193"
"4415","Illinois Natural History Survey","40.092954","-88.239981"
"4483","Architecture Annex","40.101954","-88.225450"
"4556","La Casa Cultural Latina","40.105676","-88.224356"
"4559","Florida Avenue Residence Halls","40.099155","-88.221185"
"4560","Illinois Street Residence Halls","40.109646","-88.221387"
"4703","I Hotel and Conference Center","40.093717","-88.237361"
"4859","Bardeen Quad","40.112141","-88.227482"
"4970","Center for Wounded Veterans in Higher Education","40.106284","-88.222485"
"4971","Surveying Building","40.103976","-88.231622"
"5087","Integrated Bioprocessing Research Laboratory (IBRL)","40.100858","-88.225598"
"5380","Parking Deck F-29","40.104018","-88.222562"
"5438","Greenhouse with Geothermal at Research Park","40.094242","-88.233989"
"5607","ZipCar location at Fourth and Healey","40.111336","-88.233604"
"5608","Lincoln Square Garage","40.111734","-88.208347"
"5609","ZipCar location at Goodwin and Illinois","40.109077","-88.223822"
"5619","ZipCar at 122 W Hill St","40.119232","-88.244465"
"5620","ZipCar at ONE North apartments","40.128208","-88.219861"
"5640","Eco-Counter at Illini Union North of Green Street","40.110444","-88.227804"
"5641","Eco-Counter at Illini Union South of Green Street","40.110198","-88.227867"
"5772","Savoy Recreation Center","40.057611","-88.256478"
"5773","Neutral Cycle","40.110696","-88.231920"
"5777","Leonhard Rec Center","40.101546","-88.284953"
"5820","EnterpriseWorks at Research Park","40.091153","-88.240087"
"5821","The Urbana Free Library","40.111209","-88.209529"
"5910","Campus Instructional Facility","40.112506","-88.228363"
"5921","President's House Garden Shed","40.097530","-88.217100"
"6075","Chi Omega Plaza","40.107190","-88.228421"
"6089","President's House","40.097976","-88.216799"
"6364","Solar Farm 2.0","40.070121","-88.243124"
"6385","RE Home","40.072264","-88.209637"
"6386","Adapthaus","40.127398","-88.243049"
"6411","Karma Trade","40.113551","-88.208590"
"6550","Prairie by Pollinatarium","40.086619","-88.214642"
"6577","Siebel Center for Design","40.102556","-88.233175"
"6578","Champaign-Urbana Community Fab Lab","40.102054","-88.224861"
"6581","Phillips Tract Research Area","40.136383","-88.144529"
"6608","Dorner Drive Retention Pond","40.102702","-88.221539"
"6619","Veterinary Teaching Hospital","40.091950","-88.222500"
"6632","CERL Main Building","40.149679","-88.272359"
"6709","fake location for test","0.000000","0.000000"
"6757","Bike Shelter","40.102911","-88.234066"
"6812","Eco-Counter at the intersection of Wright St and Healey St (East)","40.111730","-88.228834"
"6813","Eco-Counter at the intersection of Wright St and Healey St (West)","40.111704","-88.229025"
"6863","Urbana, IL","40.110587","-88.207285"
"6896","Football Performance Center","40.099862","-88.234106"
"6921","Willard Airport","40.037175","-88.262637"
"7348","Eco-Counter at Armory and Sixth (South)","40.105401","-88.230021"
"7349","Eco-Counter at Armory and Sixth (North)","40.105451","-88.230026"
"7412","Eco-Counter at Green and Goodwin (North)","40.110607","-88.223383"
"7413","Eco-Counter at Green and Goodwin (South)","40.110419","-88.223455"
"7885","Northeast of Nick Holonyak Micro and Nanotechnology Lab","40.114362","-88.227546"
"8767","Eco-Counter at the Illini Union Bookstore/Transit Plaza (West)","40.108651","-88.228973"
"8768","Eco-Counter at the Illini Union Bookstore/Transit Plaza (East)","40.108653","-88.228756"
"9459","Campus Recreation Outdoor Space ","40.103959","-88.240146"
"9463","College of Veterinary Medicine","40.092723","-88.220997"
"9464","Women's Resources Center","40.110392","-88.229751"
"9514","Wymer Hall","40.103994","-88.231908"
"9531","Renewable Energy House","40.308035","-88.134873"
"9537","Prairie Research Institute","40.101223","-88.229065"
"9557","Red Oak Rain Garden","40.104110","-88.220851"
"9564","Agricultural & Biological Engineering Research Farm","40.072897","-88.209985"
"9569","Trelease Woods","40.134478","-88.144496"
"9598","Crop Sciences Research and Education Center (South Farms)","40.058940","-88.233207"
"9603","FSHN Pilot Plant","40.101922","-88.226329"
"9610","Deparment of Natural Resources & Environmental Studies","40.102900","-88.224211"
"9640","Bee Research Facility","40.073267","-88.219014"
"9676","Eco-Counter at Noyes Lab","40.108943","-88.225843"
"9691"," Illini Hillel Center for Jewish Life","40.108760","-88.231614"
"9700","Urbana & Champaign Sanitary District","40.118581","-88.195505"
"9730","University YMCA","40.106571","-88.229227"
"9735","University Place Church","40.113072","-88.229535"
"9741","Department of Gender & Women's Studies Department","40.105726","-88.224685"
"9746","Eco-Counter at Armory and Fourth (North)","40.105441","-88.233054"
"9748","Eco-Counter at First and Stadium (East)","40.102937","-88.238516"
"9749","Eco-Counter at Armory and Fourth (South)","40.105346","-88.233134"
"9750","Eco-Counter at First and Stadium (West)","40.103079","-88.238722"
"9751","Eco-Counter at First and Windsor","40.082812","-88.238584"
"9752","Eco-Counter at Green and Lincoln (North)","40.110655","-88.219989"
"9753","Eco-Counter at Green and Lincoln (South)","40.110373","-88.220188"
"9754","Eco-Counter at Gregory and Goodwin (East)","40.104444","-88.223703"
"9755","Eco-Counter at Gregory and Goodwin (West)","40.104461","-88.223898"
"9756","Eco-Counter at Main Quad Bevier Hall ","40.105365","-88.224351"
"9757","Eco-Counter at Main Quad Gregory Hall","40.105340","-88.228200"
"9758","Eco-Counter at the Morrow Plots","40.104351","-88.225664"
"9892","Illinois Natural History Survey Storage Building #3","40.092455","-88.241511"
"9901","Atkins Building - Research Park","40.093949","-88.239639"
"9981","South Studio Three","40.087982","-88.242223"
"10122","Channing-Murray Foundation","40.106773","-88.225198"
"10660","Native American House","40.106150","-88.224500"
"10662","Atkins Golf Club","40.088321","-88.170056"
"10721","Engineering Student Project Laboratory (ESPL)","40.111813","-88.222445"
"10796","Shipping Containers for Bike Storage","40.104669","-88.240833"
"10846","Nugent Hall","40.103870","-88.237231"
"10921","Plant Biology Innovation Greenhouse","40.092149","-88.233587"
